30,PARLIAMENTARY VOTE OF CONFIDENCE WON BY PRIME MINISTER MACMILLANON THE PROFUMO SCANDAL AND WHAT EFFECT THE PROFUMO SCANDAL MAYHAVE ON LABOR'S CHANCES IN THE NEXT BRITISH ELECTIONS .
31,LEADERS WHICH FIGURE IN DISCUSSIONS OF THE FUTURE OF THE WESTGERMAN CHANCELLORSHIP .
32,TALKS HELD IN EAST GERMANY BY PREMIER KHRUSHCHEV WITH THE LEADERS OFFOUR EAST EUROPEAN SATELLITE COUNTRIES .
33,GOVERNMENT CRISIS WHICH WAS PRODUCED BY THE CONTROVERSY INVOLVINGTHE WALLOONS AND THE FLEMINGS .
34,DIFFICULTIES IRELAND'S MINORITY GOVERNMENT IS FACING BECAUSE OFTHE GROWING UNREST OVER ITS AGRICULTURAL POLICIES .
35,TALKS BETWEEN PORTUGAL AND THE U.S . ON THE TROUBLES PORTUGALHAS BEEN HAVING WITH ITS AFRICAN POSSESSIONS .
36,SHAKE-UPS IN THE CZECH REGIME HEADED BY PRESIDENT ANTONINNOVOTNY .
37,WHEAT DEALS INVOLVING THE UNITED STATES, RUSSIA AND CANADA .
38, SPECULATION THAT THE NUMBER OF U.S . FORCES IN EUROPE MIGHT BEREDUCED .
39,COALITION GOVERNMENT TO BE FORMED IN ITALY BY THE LEFT-WINGSOCIALISTS, THE REPUBLICANS, SOCIAL DEMOCRATS, AND CHRISTIANDEMOCRATS .
40,RESULTS OF THE POLITICAL POLLS IN BRITAIN REGARDING WHICH PARTYIS IN THE LEAD, THE LABOR PARTY OR THE CONSERVATIVES .
41,WHAT TWO PROPOSALS DID DE GAULLE REJECT THIS YEAR AFFECTING ALLIEDRELATIONS .
42,PRESIDENT DE GAULLE'S BELIEF THAT FRANCE'S NUCLEAR FORCE SHOULDBE THE KEYSTONE OF A EUROPEAN DEFENSE SYSTEM .
43,EFFORTS BY KHRUSHCHEV TO FIND A CLOSER RELATIONSHIP WITHYUGOSLAVIA .
44,BONN'S OPPOSITION TO PROPOSALS FOR AN EAST-WEST NONAGGRESSIONPACT .
45,BACKGROUND OF THE NEW PRIME MINISTER OF GREAT BRITAIN .
46,PRESIDENT DE GAULLE'S POLICY ON BRITISH ENTRY INTO THECOMMON MARKET .
47,PROPOSALS FOR A UNIFIED EUROPE INDEPENDENT OF THE U.S .
48,WHAT IS THE "HOT LINE" PROPOSAL .
49,BACKGROUND OF THE NEW CHANCELLOR OF WEST GERMANY, LUDWIG ERHARD .
50,MEETING OF MINISTERS IN PARIS IN APRIL OF THOSE COUNTRIES THATARE MEMBERS OF BOTH NATO AND SEATO .
51,SUCCESSOR TO PREMIER KHRUSHCHEV .
52,HINT BY PREMIER KHRUSHCHEV, WHO IS BOTH THE COMMUNIST PARTYSECRETARY AND PREMIER, THAT HE MAY RETIRE FROM ONE OF HIS TWO POSTS .
53,PREMIER KHRUSHCHEV ONCE AGAIN PRESSING FOR A NONAGGRESSION PACTBETWEEN NATO AND THE WARSAW PACT NATIONS .
54,COMMUNIST CHINA'S REACTION TO THE SOVIET UNION'S SIGNING OFTHE NUCLEAR TEST BAN TREATY WITH THE WEST .
55,SUGGESTION MADE BY PRESIDENT KENNEDY FOR A NATO NUCLEAR MISSILEFLEET MANNED BY INTERNATIONAL CREWS .
56,SUGGESTION BY PRESIDENT KENNEDY THAT THE U.S . AND THESOVIET UNION COOPERATE ON A MOON PROJECT .
57,PROVISIONS OF THE TEST BAN TREATY .
58,OTHER NATIONS POSSESSING U.S . POLARIS MISSILES FOR THEIRNUCLEAR SUBMARINE FLEETS .
59,DISPUTE BETWEEN THE U.S . AND THE SOVIET UNION OVER INSPECTIONSYSTEMS AT THE GENEVA DISARMAMENT CONFERENCES .
60,SIGNING OF THE TEST BAN TREATY .
61,NATIONS WORKING ON NUCLEAR WEAPONS DEVELOPMENT .
62,MOSCOW'S SUPPORT OF THE KURD'S STRUGGLE FOR AUTONOMY .
63,PRESIDENT NASSER'S RULING OUT ARAB UNION SO LONG AS THE PRESENTGOVERNING PARTY IN SYRIA REMAINS IN CONTROL .
64,PRIME MINISTER NEHRU'S COMING UNDER ATTACK LAST WEEK IN THEFIRST NO-CONFIDENCE MOTION ENTERTAINED BY THE INDIANPARLIAMENT SINCE HIS GOVERNMENT TOOK OFFICE .
65,BORDER DISPUTE BETWEEN ISRAEL AND SYRIA .
66,AGREEMENT BETWEEN SYRIA AND IRAQ ON FULL ECONOMIC UNITYAND CLOSER ECONOMIC COOPERATION .
67,CONTINUING CONFLICT BETWEEN INDIA AND PAKISTAN OVER KASHMIR .
68,INDIAN FEARS OF ANOTHER COMMUNIST CHINESE INVASION .
69,THE BAATH (RENAISSANCE) PARTY FOUNDED BY MICHEL AFLAK, WHICH HASGAINED CONTROL OF SYRIA AND IRAQ AND AIMS TO UNITE ALL ARAB COUNTRIES .
70,KING WHO SIGNED AWAY HIS POWER OF STATE GIVING FREE REIN TO HISHALF-BROTHER FEISAL'S REFORM RULE .
71,SOMALIA IS INVOLVED IN BORDER DISPUTES WITH ITS NEIGHBORS .WHAT MILITARY AID IS BEING SUPPLIED TO SOMALIA BY RUSSIA .
72,ECONOMIC STEPS TAKEN AGAINST SOUTH AFRICA AS A PROTEST AGAINSTTHAT NATION'S APARTHEID POLICY .
73,INCREASING CRITICISM OF PREMIER BEN BELLA IN ALGERIA FROM OTHERLEADERS WHO HELPED BRING ABOUT ALGERIAN INDEPENDENCE .
74,TAKE OVER AGAIN BY MOISE TSHOMBE OF THE KATANGA PROVINCEIN THE CONGO .
75,PREMIER CYRILLE ADOULA'S ORDERING THE ENTIRE SOVIET EMBASSYSTAFF THROWN OUT OF HIS COUNTRY ON SPYING CHARGES .
76,CONFERENCE ON AFRICAN UNITY TO BE HELD IN ADDIS ABABA ON MAY 22BY THE HEADS OF STATE OF 31 INDEPENDENT AFRICAN NATIONS .
77,SPAIN'S RELAXATION OF CONTROLS OVER SOME OF ITS AFRICANTERRITORIES .
78,FEDERATION OF EAST AFRICA TO BE FORMED BY KENYA, TANGANYIKAAND UGANDA WHEN KENYA GAINS ITS INDEPENDENCE ON DEC . 12 FROM BRITAIN .
79,ALGERIAN VOTE ON A NEW CONSTITUTION GIVING FULLPOWERS TO PREMIER BEN BELLA'S POLITICAL PARTY .
80,EFFECTS OF THE SINO-SOVIET DISPUTE ON THENEW NATIONS OF AFRICA AND ASIA OR ON AREAS OF FERMENTIN LATIN AMERICA .
81,COMMUNIST CHINESE TRADE WITH THE SOVIET UNION, THE REST OF THECOMMUNIST WORLD, AND WITH THE NON-COMMUNIST WORLD .
82,ALBANIAN BACKING OF COMMUNIST CHINA IN THE IDEOLOGICALSPLIT WITH THE SOVIET UNION .
83,RED CHINESE BLAMING OF ECONOMIC TROUBLES AND THE TREATY-BREAKINGWITHDRAWAL OF RUSSIAN TECHNICAL ASSISTANCE FOR SERIOUS DELAYS IN ITSDEVELOPMENT PROGRAM .
